"1","Brown Rang",\N,"VyodL1mP8cc",\N
"2","Brown Rang || Yo Yo Honey Singh || Slowed + Reverb | Lufi Song |#slowed #reverb #lufi #song",\N,"zycu0pVF_7M",\N
"3","Brown Munde",\N,"YBTVJ_jWIGk",\N
"4","BRAZILIAN PHONK DANÇA (Drift Party Phonk)","166","ofVHgwRQZbo","1"
"5","BRAZILIAN PHONK DANÇA (8D Audio Phonk)","166","J5V0agXsdbk","1"
"6","BRAZILIAN PHONK DANÇA (Bass Boosted Phonk)","166","bhekqw1cTYI","1"
"7","BRAZILIAN PHONK DANÇA (Extra Slowed Phonk)","332","NhpbKSW86uE","1"
"8","BRAZILIAN PHONK DANÇA (Hyper Speed Phonk)","99","uI35kMxqz5o","1"
"9","BRAZILIAN PHONK DANÇA (Loop Phonk)","332","6_3aksnfTIY","1"
"10","BRAZILIAN PHONK DANÇA (Mega Speed Phonk)","111","LGV07KuKrMA","1"
"11","BRAZILIAN PHONK DANÇA (Extended)","172","W34NP-8WCWQ","1"
"12","BRAZILIAN PHONK DANÇA (Super Slowed Phonk)","256","CvJ0foy4BR8","1"
"13","BRAZILIAN PHONK DANÇA (Slowed + Reverb Phonk)","208","CUvKEk_Q9cs","1"
"14","BRAZILIAN PHONK DANÇA (Speed Up Phonk)","145","cYGZSjVaQsY","1"
"15","BRAZILIAN PHONK DANÇA (Super Speed Phonk)","134","GdCwVVAmqFE","1"
"16","BRAZILIAN PHONK DANÇA (Ultra Slowed Phonk)","222","Bfaz6BC_3vY","1"
"17","DIA DELÍCIA (Slowed)",\N,"AsFdNBMCwPM",\N
"18","PASSO BEM SOLTO","104","jos0OAUzwt4","14"
"19","PASSO BEM SOLTO (Speed Up)","95","sMK9l3jL8hE","14"
"20","PASSO BEM SOLTO (Super Speed Up)","87","JxBvIRo2kOw","14"
"21","PASSO BEM SOLTO (Ultra Speed Up)","80","oySB4bgY72c","14"
"22","PASSO BEM SOLTO (Extreme Speed Up)","72","j1h7wbkuwQM","14"
"23","PASSO BEM SOLTO (Slowed)","115","-zmMu_DtTHg","14"
"24","PASSO BEM SOLTO (Super Slowed)","130","w56PU7TJ2O4","14"
"25","PASSO BEM SOLTO (Ultra Slowed)","148","K7wljyCa9bw","14"
"26","PASSO BEM SOLTO (Extreme Slowed)","173","F4EAwUCJkXM","14"
"27","MONTAGEM RITMICA (Slowed)","84","tgqgwCisJxI",\N
"28","MONTAGEM VIDA (Super Slowed)","163","AclSm5zyLHw",\N
"29","MONTAGEM REBOLA (Slowed)","114","xcNLg8Thkh0",\N
"30","NO ERA AMOR","83","-togqJf3NaM","23"
"31","NO ERA AMOR (Slowed)","94","-v-Z7nCpDro","23"
"32","NO ERA AMOR (Super Slowed)","105","4HSpwU0SN8M","23"
"33","NO ERA AMOR (Ultra Slowed)","118","gakO82cNu4I","23"
"34","NO ERA AMOR (Extremely Slowed)","132","rU8IuE_NjvY","23"
"35","NO ERA AMOR (Sped Up)","74","yIhMMdxTXMo","23"
"36","kompa pasión",\N,"8NoNFPdFtH8",\N
"37","kompa 2",\N,"gtlsZR4P-N8",\N
"38","Mamacita (Sped Up)",\N,"iynX0A01Z0E",\N
"39","Reset (Sped Up)","133","FmWvML9WBvU","29"
"40","After Dark","260","Cl5Vkd4N03Q","30"
"41","I'll do it x Metamorphosis (Slowed)","197","_o-bSsCOA4U","31"
"42","GYPSY WOMAN x METAMORPHOSIS","116","cqxtBxjfxos","32"
"43","METAMORPHOSIS (Sped Up)","111","mIoMDzsUZCY","33"
"44","METAMORPHOSIS 2","138","Fl0YWLT6iFE","34"
"45","METAMORPHOSIS","143","lJvRohYSrZM","35"
"46","METAMORPHOSIS 2 (Sped Up)","103","VpCXh3in6mE","36"
"47","MONTAGEM BALANCA (Ultra Slowed)","97","SBcF7emgp8M","37"
"48","AL NACER! (Super Slowed)","135","0PTq-CpcCGw","38"
"49","INFINITY FUNK (Slowed + Reverb)","136","DCW1f5YUxbg",\N
"50","MONTAGEM BAILÃO (Slowed) (feat. Mc Jhey)","117","FNXUolrn9Hg","39"
"51","EEYUH! (Slowed + Reverb)","138","GN3hXGWVyH4","40"
"52","gata only (remix)",\N,"IMzkON30nDw",\N
"53","INFINITY FUNK - Prey ~ (SUPER SLOWED + REVERB) [BRAZILIAN PHONK]","144","IdV1Es4yLeI",\N
"54","Floyymenor, Cris mj - GATA ONLY [Remix] (ULTRA SLOWED & REVERB), Best Part",\N,"K8GbfxQVMoI",\N
"55","METAMORPHOSIS (Slowed + Reverb)","173","Kii1mdfiX3Y","41"
"56","L'Étoile D'afrique - #18 - Slow Version","132","PcunO4HkRpI","42"
"57","EEYUH!","110","dFe1Dljfelg","43"
"58","Gata only remix best part looped (NOT SLOWED)",\N,"eUdpJo9Ic0U",\N
"59","Funk de Revoada (Super Slowed)","125","hYoePxBNhq0","44"
"60","Funk de Revoada","105","jVELxCk20ZI","44"
"61","Trompette D’afrique X L’etoile D’afrique (slowed)","130","kBcy-K4FzLY",\N
"62","l'étoile d'afrique (slowed down + best part looped)","118","kRQXFJyrMUE",\N
"63","archangel (Slowed)","186","mkhRRLRUqLY","46"
"64","Darling - Instrumental","181","qYYxsRvM89E","47"
"65","INFINITY FUNK (Super Slowed)","168","t4opJNwBBVo","48"
"66","Montagem 3,2,1","104","P8Eb721erP8","49"
"67","Montagem 3,2,1 (Slowed)","117","NUfkm8zZT5A","49"
"68","Montagem 3,2,1 (Super Slowed)","131","BULOVeT5jx0","49"
"69","Montagem 3,2,1 (Ultra Slowed)","138","7OEmFK1lPUQ","49"
"70","Montagem 3,2,1 (Sped Up)","93","UtWcSygjsFs","49"
"71","MONTAGEM TOMADA","84","ZbOb-Wc7dzs","54"
"72","MONTAGEM TOMADA (Mega Slowed)","166","oouBXZI6e-Q","54"
"73","MONTAGEM TOMADA (Ultra Slowed)","140","fycQO_r25RE","54"
"74","MONTAGEM TOMADA (Slowed)","112","Hc5rRpnLCmU","54"
"75","MONTAGEM TOMADA (Speed)","72","jb4tbOmyJ1Y","54"
"76","MONTAGEM XONADA","76","pUklUX8ITeo","59"
"77","MONTAGEM XONADA (Slowed)","85","p5J7afpqcPY","59"
"78","MONTAGEM XONADA (Sped Up)","68","d4qLmyeLi1A","59"
"79","MONTAGEM XONADA (Super Slowed)","95","cjJwOZ0fxgU","59"
"80","MONTAGEM TOMADA","72","EYaP4h6njtI","54"
"81","MONTAGEM TOMADA (Slowed)","85","qN_ecsamhms","54"
"82","MONTAGEM TOMADA (Super Slowed)","96","KnuIi5VP1e4","54"
"83","MONTAGEM TOMADA (Ultra Slowed)","107","xFBV8m1HRBk","54"
"84","MONTAGEM COMA (egregious)","133","B9Uq5M4Hw80","67"
"85","MONTAGEM COMA (fancy)","133","TXqECbctCkQ","67"
"86","MONTAGEM COMA (peculiar)","133","gsjOv9zthBg","67"
"87","MONTAGEM COMA (distinctive)","133","pEluAtlv-Q8","67"
"88","MONTAGEM COMA (special)","133","HJRnXgBiABk","67"
"89","MONTAGEM COMA 2.0","80","z9PrP1uQS1c","72"
"90","MONTAGEM COMA 2.0 (SLOWED)","85","p8Upk1p2N14","72"
"91","MONTAGEM COMA 2.0 (ULTRA SLOWED)","90","49z77wMELJs","72"
"92","MONTAGEM COMA 2.0 (SUPER SLOWED)","96","U0yoFdqi0GQ","72"
"93","MONTAGEM COMA 2.0 (EXTREME SLOWED)","101","mxtBfoFask8","72"
"94","MONTAGEM COMA 2.0 (MEGA SLOWED)","116","5m48BHZ6Eek","72"
"95","ANDROMEDA (MONTAGEM COMA Electric Rock)","168","xi_cNGDAiXw","78"
"96","ANDROMEDA (MONTAGEM COMA Electric Dance)","140","1mAnJ3CfzBM","78"
"97","ANDROMEDA (MONTAGEM COMA Drill)","118","3ocSJuqpphY","78"
"98","ANDROMEDA (MONTAGEM COMA Electric Trap x Future Bass)","179","-q5hNx0cuTA","78"
"99","EEYUH! x Fluxxwave","99","xROSOKB3Fp8","82"
"100","EEYUH! x Fluxxwave (Slowed + Reverb)","115","GMh-mTTOnkg","82"
"101","EEYUH! x Fluxxwave (Sped Up)","84","Y7w27QmHwrI","82"
"102","EEYUH! x Fluxxwave (Super Slowed)","134","6VW3s7yW3W4","82"
"103","EEYUH! (Sped Up)","98","W9kqBg-ZjYQ","40"
"104","EEYUH! (Slowed + Reverb)","138","amxcfss26Hg","40"
"105","EEYUH! (Super Slowed)","165","6zF3MzKjB8Y","40"
"106","EEYUH!","110","wSs1xx2tzhs","40"
"107","Diamondz n Roses (Back It Up!)","94","2CIc50DauYA","90"
"108","Diamondz n Roses (Back It Up!) (Sped Up)","88","6sQEcRGVB5U","90"
"109","Diamondz n Roses (Back It Up!) (Slowed & Reverbed)","119","fysp6qkSBVA","90"
"110","Midnight Hummingbird","67","rNyGNLzFDjM","93"
"111","Nightdrive Ritual","69","kp2Fvl_OA40","93"
"112","Savage Halo","70","sfTDe1aCjI4","93"
"113","Silver Tide Rush","70","3Ly_f2l5Tfs","93"
"114","Bass Marauder","70","imRZbbwWalQ","93"
"115","Hazy Bloodmoon","72","ppWcuDOcNUM","93"
"116","Neon Outlaw","73","A6cXh7_3OME","93"
"117","Sapphire Runner","75","hotCUWgHT9g","93"
"118","Jungle Jetstream","75","0dziA6xXUAI","93"
"119","Neon Backflip","75","oVrqVyPf3wU","93"
"120","Chrome Harvest","76","vQYgbVfiI0Q","93"
"121","Shimmer Riot","76","JsQQZqG5Dks","93"
"122","Phantom Switchblade","77","SR5yUcQIdb8","93"
"123","Raven Speedway","77","lmNTnCfdtPQ","93"
"124","Drift Cathedral GFO","78","iV4cmCWHh5E","93"
"125","Nova Dribble","78","5EXTvc_F5-4","93"
"126","Midnight Rumba","79","JYCMKMRmqeU","93"
"127","Skyline Panther","79","5f9T1BDVKqc","93"
"128","Toxic Beachwave","80","jKn9nefxRdA","93"
"129","Mercury Ghost","82","URUTadtlci8","93"
"130","Panther Stampede","82","dnyPKLGnqIE","93"
"131","Thunder Balaclava","83","e8FppoQr-Y0","93"
"132","Midnight Skrr","83","7MHi4Ute0NM","93"
"133","Alley Bloom","85","zOKiSEEyazU","93"
"134","Thunder Machete","85","-n3xaVjPFSw","93"
"135","Lunar Backstreet","85","2qdEaqjip0s","93"
"136","Velvet Dynamo","87","U2ncPX4a1CU","93"
"137","Turbo Oracle","89","c-ZGWUkt6rc","93"
"138","Urban Cyclops","90","JzuocmrT4Tg","93"
"139","Asphalt Mirage","90","RmaEzroAczU","93"
"140","Gravity Blockparty","90","qpGjusxsll8","93"
"141","Street Reckoning","92","JVgfcitXd_U","93"
"142","Street Reckoning UQL","92","GEXG8Yy6aXc","93"
"143","Astral Roadster","92","iIPdipuCZj4","93"
"144","Street Rumble","92","hcL4-kBHzvQ","93"
"145","Wolfshift Boulevard","93","SZEEb30uxIc","93"
"146","Phantom Overture","93","B7VY-WM5klc","93"
"147","Asphalt Lilac","94","t8EUTqvGeLI","93"
"148","Phantom Bayou","94","MoJEkGnbaT8","93"
"149","Bianca Razor Flight","132","ifi9tyOcBHc","93"
"150","MONTAGEM BAILAO","95","tyUjV4XTYRg","39"
"151","MONTAGEM BAILAO (Slowed + Reverb)","101","jKzQjfALmjw","39"
"152","MONTAGEM BAILAO (Over Slowed + Reverb)","108","J1fQz0ScAew","39"
"153","MONTAGEM BAILAO (Impossibly Slowed + Reverb)","117","Btxn_EO12Cg","39"
"154","MONTAGEM BAILAO (Sped Up)","89","QjVIPerZw80","39"
"155","MONTAGEM BAILÃO (feat. Mc Jhey)","104","yHcHGyg-mY0","138"
"156","MONTAGEM BAILÃO (Super Slowed) (feat. Mc Jhey)","131","h-gu0jzTHLw","138"
"157","MONTAGEM BAILÃO (Sped Up) (feat. Mc Jhey)","98","r75ZeqGRPW8","138"
"158","MONTAGEM BAILÃO (Ultra Slowed) (feat. Mc Jhey)","147","3ImW1fq0qIk","138"
